r2dtable
rbeta
rbinom
rcauchy
rchisq
rexp
rf
rgamma
rgeom
rhyper
rlnorm
rlogis
rmultinom
rnbinom
rnorm
rpois
rsignrank
rsmirnov
rstandard
rstudent
rt
runif
rweibull
rwilcox
rWishart
